Identifier	Character	Dialogue	Filename	Line Number
start_e1592860		Il etait une fois dans un monde les skin fortine existe...	game/script.rpy	5
start_bb21af20		Au debut personne etait au courant du plan des skin	game/script.rpy	6
start_ea47e980		Mais le pire est venue et le monde c'est fait laver des humain	game/script.rpy	7
start_b859756f		Maintenant il y a plus que des skins fortnite!!!	game/script.rpy	8
start_24fcf9b0	b	Bonjour voyageur qu'elle skin est tu???	game/script.rpy	13
start_d3ee3b9c	b	Merci beaucoup de me repondre	game/script.rpy	14
start_126dd84b	b	Est-ce que tu aime Fortnite	game/script.rpy	18
start_9df5d8be	b	Super alors on peut continuer	game/script.rpy	23
start_ac028097	b	Moi non plus mais je suis obliger par des gens	game/script.rpy	25
annif_de_truc_26e89b37	b	Bonne annif	game/script.rpy	33
annif_de_truc_0fbfd3e3	b	comme tu aime fortnite je te donne des V-bucks	game/script.rpy	36
annif_de_truc_3bf3a55d	b	comme fortnite c'est pas trop ton truc je te donne une carte google play de valeur de 50$	game/script.rpy	39
